Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
ed637935-a085-496c-8788-0601c14e7938,"2020-06-01, 01:06:33 PM",Accountant,ChangePassword,,,,us-east-1,,AWS Internal
6c904f31-2422-423c-a9aa-36e982a38239,"2020-06-01, 01:05:51 PM",Accountant,ConsoleLogin,,,,us-east-1,,41.217.58.176
1a5c0b03-363e-4698-9ffc-9df8e1e6e04b,"2020-06-01, 01:05:43 PM",Accountant,ConsoleLogin,,,,us-east-1,,41.217.58.176
ffd96b2b-33b9-4d17-91af-888ae227efe4,"2020-06-01, 01:04:27 PM",mini,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,41.217.58.176
feb03e8d-0ee7-4cce-b06d-83d04df0a34a,"2020-06-01, 01:04:26 PM",mini,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,41.217.58.176
85730007-3461-49ac-a10f-c5fa686d5cde,"2020-06-01, 01:04:25 PM",mini,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAW4GEVN7H6QIF6PV3Q""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::472858849231:user/Accountant""}]",,us-east-1,,41.217.58.176
478df7d5-2806-4384-bc3e-c7dad94e4b83,"2020-06-01, 01:03:28 PM",mini,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,41.217.58.176
28b94acd-680e-4884-b043-dcb05bf4a3ad,"2020-06-01, 01:03:27 PM",mini,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,41.217.58.176
655c3617-832f-4bb9-8122-e8d9b0443fb9,"2020-06-01, 01:03:27 PM",mini,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::472858849231:user/CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAW4GEVN7H7Z3262VL6""}]",,us-east-1,,41.217.58.176
138b4de4-262f-4b07-bff3-8aa6b845c338,"2020-06-01, 01:02:27 PM",mini,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,41.217.58.176
920d0fb2-d186-4c7a-adc1-0ae104dcfed1,"2020-06-01, 01:02:27 PM",mini,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAW4GEVN7HVMBVGK45F""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::472858849231:group/Reviewers""}]",,us-east-1,,41.217.58.176
1c0bd745-4123-49b8-a184-399d163b4a2c,"2020-06-01, 01:02:09 PM",mini,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,41.217.58.176
2c1d4613-f68b-4f5b-b0d5-f7208f1b49a0,"2020-06-01, 01:02:09 PM",mini,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,41.217.58.176
a1e2272f-9a4f-49dd-adc2-a86da42c3c55,"2020-06-01, 01:02:09 PM",mini,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::472858849231:group/CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAW4GEVN7HZ3ALW5FH7""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,41.217.58.176
8afc66d8-b06a-4a97-8ee3-1be65c1ffc5d,"2020-06-01, 01:01:28 PM",mini,UpdateAccountPasswordPolicy,,,,us-east-1,,41.217.58.176
